Punkt 17 - Istwert;1906.0290839;60.9012;-1032.9408
Ursprung_Welt;0.000;0.000;0.000
Punkt 2 - Istwert;2709.415762;765.987;-571.38637
Punkt 1 - Istwert;2622.5065666;733.299246324377;-568.929158888267
Punkt 3 - Istwert;2069.677148677;831.07525312;-664.515271
Punkt 4 - Istwert;2655.88606;645.9633165;-568.06577659
Punkt 5 - Istwert;2743.51645;679.2467;-570.784234485812
Punkt 6 - Istwert;2743.51841793217;679.381;-570.74254
Punkt 7 - Istwert;2708.50493412945;766.519427322487;-570.715
Punkt 8 - Istwert;2621.849;733.21345051;-570.641463
Punkt 9 - Istwert;2655.529836947;645.95917;-570.14716286
Punkt 10 - Istwert;2222.88689442;451.176361419235;-664.5110577
Punkt 11 - Istwert;2679.856;705.8703757;-583.80512461653
Punkt 12 - Istwert;2684.13474072263;764.884945293818;-584.1326
Punkt 13 - Istwert;1830.3235;655.4152856;-1034.89716532425
Punkt 14 - Istwert;1738.806077;1005.31937608384;-1035.926
Punkt 15 - Istwert;2532.502;1197.57748693582;-1034.35632529389
Punkt 16 - Istwert;3333.512;1558.70112788155;-1034.11077372694
